PriceList,Catalog,GradeGroup,Price
EQ3 EXW CA V7,30136-01,10,1127.0
EQ3 EXW CA V7,30136-01,20,1167.0
EQ3 EXW CA V7,30136-01,30,1197.0
EQ3 EXW CA V7,30136-01,31,1197.0
EQ3 EXW CA V7,30136-01,40,1227.0
EQ3 EXW CA V7,30136-01,50,1277.0
EQ3 EXW CA V7,30136-01,60,1327.0
EQ3 EXW CA V7,30136-01,70,1377.0
EQ3 EXW CA V7,30136-01,F,1977.0
EQ3 EXW CA V7,30136-01,I,2127.0
EQ3 EXW CA V7,30136-01,41,nan
EQ3 EXW CA V7,30136-01,42,nan
EQ3 EXW CA V7,30136-03,10,1083.0
EQ3 EXW CA V7,30136-03,20,1123.0
EQ3 EXW CA V7,30136-03,30,1153.0
EQ3 EXW CA V7,30136-03,31,1153.0
EQ3 EXW CA V7,30136-03,40,1183.0
EQ3 EXW CA V7,30136-03,50,1233.0
EQ3 EXW CA V7,30136-03,60,1283.0
EQ3 EXW CA V7,30136-03,70,1333.0
EQ3 EXW CA V7,30136-03,F,1933.0
EQ3 EXW CA V7,30136-03,I,2083.0
EQ3 EXW CA V7,30136-03,41,nan
EQ3 EXW CA V7,30136-03,42,nan
EQ3 EXW CA V7,30136-06,10,804.0
EQ3 EXW CA V7,30136-06,20,824.0
EQ3 EXW CA V7,30136-06,30,839.0
EQ3 EXW CA V7,30136-06,31,839.0
EQ3 EXW CA V7,30136-06,40,859.0
EQ3 EXW CA V7,30136-06,50,879.0
EQ3 EXW CA V7,30136-06,60,899.0
EQ3 EXW CA V7,30136-06,70,919.0
EQ3 EXW CA V7,30136-06,F,1144.0
EQ3 EXW CA V7,30136-06,I,1204.0
EQ3 EXW CA V7,30136-06,41,nan
EQ3 EXW CA V7,30136-06,42,nan
EQ3 EXW CA V7,30136-07,10,939.0
EQ3 EXW CA V7,30136-07,20,979.0
EQ3 EXW CA V7,30136-07,30,1009.0
EQ3 EXW CA V7,30136-07,31,1009.0
EQ3 EXW CA V7,30136-07,40,1039.0
EQ3 EXW CA V7,30136-07,50,1089.0
EQ3 EXW CA V7,30136-07,60,1139.0
EQ3 EXW CA V7,30136-07,70,1189.0
EQ3 EXW CA V7,30136-07,F,1789.0
EQ3 EXW CA V7,30136-07,I,1939.0
EQ3 EXW CA V7,30136-07,41,nan
EQ3 EXW CA V7,30136-07,42,nan
EQ3 EXW CA V7,30136-08,10,939.0
EQ3 EXW CA V7,30136-08,20,979.0
EQ3 EXW CA V7,30136-08,30,1009.0
EQ3 EXW CA V7,30136-08,31,1009.0
EQ3 EXW CA V7,30136-08,40,1039.0
EQ3 EXW CA V7,30136-08,50,1089.0
EQ3 EXW CA V7,30136-08,60,1139.0
EQ3 EXW CA V7,30136-08,70,1189.0
EQ3 EXW CA V7,30136-08,F,1789.0
EQ3 EXW CA V7,30136-08,I,1939.0
EQ3 EXW CA V7,30136-08,41,nan
EQ3 EXW CA V7,30136-08,42,nan
EQ3 EXW CA V7,30136-09,10,620.0
EQ3 EXW CA V7,30136-09,20,640.0
EQ3 EXW CA V7,30136-09,30,655.0
EQ3 EXW CA V7,30136-09,31,655.0
EQ3 EXW CA V7,30136-09,40,690.0
EQ3 EXW CA V7,30136-09,50,725.0
EQ3 EXW CA V7,30136-09,60,760.0
EQ3 EXW CA V7,30136-09,70,795.0
EQ3 EXW CA V7,30136-09,F,1215.0
EQ3 EXW CA V7,30136-09,I,1320.0
EQ3 EXW CA V7,30136-09,41,nan
EQ3 EXW CA V7,30136-09,42,nan
EQ3 EXW CA V7,30136-10,10,473.0
EQ3 EXW CA V7,30136-10,20,493.0
EQ3 EXW CA V7,30136-10,30,508.0
EQ3 EXW CA V7,30136-10,31,508.0
EQ3 EXW CA V7,30136-10,40,528.0
EQ3 EXW CA V7,30136-10,50,548.0
EQ3 EXW CA V7,30136-10,60,568.0
EQ3 EXW CA V7,30136-10,70,588.0
EQ3 EXW CA V7,30136-10,F,813.0
EQ3 EXW CA V7,30136-10,I,873.0
EQ3 EXW CA V7,30136-10,41,nan
EQ3 EXW CA V7,30136-10,42,nan
EQ3 EXW CA V7,30136-11,10,566.0
EQ3 EXW CA V7,30136-11,20,586.0
EQ3 EXW CA V7,30136-11,30,601.0
EQ3 EXW CA V7,30136-11,31,601.0
EQ3 EXW CA V7,30136-11,40,636.0
EQ3 EXW CA V7,30136-11,50,671.0
EQ3 EXW CA V7,30136-11,60,706.0
EQ3 EXW CA V7,30136-11,70,741.0
EQ3 EXW CA V7,30136-11,F,1161.0
EQ3 EXW CA V7,30136-11,I,1266.0
EQ3 EXW CA V7,30136-11,41,nan
EQ3 EXW CA V7,30136-11,42,nan
EQ3 EXW CA V7,30136-12,10,566.0
EQ3 EXW CA V7,30136-12,20,586.0
EQ3 EXW CA V7,30136-12,30,601.0
EQ3 EXW CA V7,30136-12,31,601.0
EQ3 EXW CA V7,30136-12,40,636.0
EQ3 EXW CA V7,30136-12,50,671.0
EQ3 EXW CA V7,30136-12,60,706.0
EQ3 EXW CA V7,30136-12,70,741.0
EQ3 EXW CA V7,30136-12,F,1161.0
EQ3 EXW CA V7,30136-12,I,1266.0
EQ3 EXW CA V7,30136-12,41,nan
EQ3 EXW CA V7,30136-12,42,nan
EQ3 EXW CA V7,30136-14,10,846.0
EQ3 EXW CA V7,30136-14,20,866.0
EQ3 EXW CA V7,30136-14,30,881.0
EQ3 EXW CA V7,30136-14,31,881.0
EQ3 EXW CA V7,30136-14,40,896.0
EQ3 EXW CA V7,30136-14,50,916.0
EQ3 EXW CA V7,30136-14,60,936.0
EQ3 EXW CA V7,30136-14,70,956.0
EQ3 EXW CA V7,30136-14,F,1526.0
EQ3 EXW CA V7,30136-14,I,1646.0
EQ3 EXW CA V7,30136-14,41,nan
EQ3 EXW CA V7,30136-14,42,nan
EQ3 EXW CA V7,30136-15,10,845.0
EQ3 EXW CA V7,30136-15,20,885.0
EQ3 EXW CA V7,30136-15,30,915.0
EQ3 EXW CA V7,30136-15,31,915.0
EQ3 EXW CA V7,30136-15,40,945.0
EQ3 EXW CA V7,30136-15,50,995.0
EQ3 EXW CA V7,30136-15,60,1045.0
EQ3 EXW CA V7,30136-15,70,1095.0
EQ3 EXW CA V7,30136-15,F,1695.0
EQ3 EXW CA V7,30136-15,I,1845.0
EQ3 EXW CA V7,30136-15,41,nan
EQ3 EXW CA V7,30136-15,42,nan
EQ3 EXW CA V7,30136-16,10,845.0
EQ3 EXW CA V7,30136-16,20,885.0
EQ3 EXW CA V7,30136-16,30,915.0
EQ3 EXW CA V7,30136-16,31,915.0
EQ3 EXW CA V7,30136-16,40,945.0
EQ3 EXW CA V7,30136-16,50,995.0
EQ3 EXW CA V7,30136-16,60,1045.0
EQ3 EXW CA V7,30136-16,70,1095.0
EQ3 EXW CA V7,30136-16,F,1695.0
EQ3 EXW CA V7,30136-16,I,1845.0
EQ3 EXW CA V7,30136-16,41,nan
EQ3 EXW CA V7,30136-16,42,nan
EQ3 EXW CA V7,30136-19,10,850.0
EQ3 EXW CA V7,30136-19,20,890.0
EQ3 EXW CA V7,30136-19,30,920.0
EQ3 EXW CA V7,30136-19,31,920.0
EQ3 EXW CA V7,30136-19,40,950.0
EQ3 EXW CA V7,30136-19,50,1000.0
EQ3 EXW CA V7,30136-19,60,1050.0
EQ3 EXW CA V7,30136-19,70,1100.0
EQ3 EXW CA V7,30136-19,F,1700.0
EQ3 EXW CA V7,30136-19,I,1850.0
EQ3 EXW CA V7,30136-19,41,nan
EQ3 EXW CA V7,30136-19,42,nan
EQ3 EXW CA V7,30136-20,10,850.0
EQ3 EXW CA V7,30136-20,20,890.0
EQ3 EXW CA V7,30136-20,30,920.0
EQ3 EXW CA V7,30136-20,31,920.0
EQ3 EXW CA V7,30136-20,40,950.0
EQ3 EXW CA V7,30136-20,50,1000.0
EQ3 EXW CA V7,30136-20,60,1050.0
EQ3 EXW CA V7,30136-20,70,1100.0
EQ3 EXW CA V7,30136-20,F,1700.0
EQ3 EXW CA V7,30136-20,I,1850.0
EQ3 EXW CA V7,30136-20,41,nan
EQ3 EXW CA V7,30136-20,42,nan
EQ3 EXW CA V7,30136-35,10,846.0
EQ3 EXW CA V7,30136-35,20,886.0
EQ3 EXW CA V7,30136-35,30,916.0
EQ3 EXW CA V7,30136-35,31,916.0
EQ3 EXW CA V7,30136-35,40,946.0
EQ3 EXW CA V7,30136-35,50,996.0
EQ3 EXW CA V7,30136-35,60,1046.0
EQ3 EXW CA V7,30136-35,70,1096.0
EQ3 EXW CA V7,30136-35,F,1526.0
EQ3 EXW CA V7,30136-35,I,1646.0
EQ3 EXW CA V7,30136-35,41,nan
EQ3 EXW CA V7,30136-35,42,nan
EQ3 EXW CA V7,30136-36,10,846.0
EQ3 EXW CA V7,30136-36,20,886.0
EQ3 EXW CA V7,30136-36,30,916.0
EQ3 EXW CA V7,30136-36,31,916.0
EQ3 EXW CA V7,30136-36,40,946.0
EQ3 EXW CA V7,30136-36,50,996.0
EQ3 EXW CA V7,30136-36,60,1046.0
EQ3 EXW CA V7,30136-36,70,1096.0
EQ3 EXW CA V7,30136-36,F,1526.0
EQ3 EXW CA V7,30136-36,I,1646.0
EQ3 EXW CA V7,30136-36,41,nan
EQ3 EXW CA V7,30136-36,42,nan
EQ3 EXW CA V7,30136-41,10,97.0
EQ3 EXW CA V7,30136-41,20,102.0
EQ3 EXW CA V7,30136-41,30,107.0
EQ3 EXW CA V7,30136-41,31,107.0
EQ3 EXW CA V7,30136-41,40,112.0
EQ3 EXW CA V7,30136-41,50,122.0
EQ3 EXW CA V7,30136-41,60,132.0
EQ3 EXW CA V7,30136-41,70,137.0
EQ3 EXW CA V7,30136-41,F,267.0
EQ3 EXW CA V7,30136-41,I,297.0
EQ3 EXW CA V7,30136-41,41,nan
EQ3 EXW CA V7,30136-41,42,nan
EQ3 EXW CA V7,30136-64,10,286.0
EQ3 EXW CA V7,30136-64,20,306.0
EQ3 EXW CA V7,30136-64,30,321.0
EQ3 EXW CA V7,30136-64,31,321.0
EQ3 EXW CA V7,30136-64,40,341.0
EQ3 EXW CA V7,30136-64,50,361.0
