PriceList,Catalog,GradeGroup,Price
EQ3 EXW US V8,30136-01,10,997.0
EQ3 EXW US V8,30136-01,20,1037.0
EQ3 EXW US V8,30136-01,30,1067.0
EQ3 EXW US V8,30136-01,31,1067.0
EQ3 EXW US V8,30136-01,40,1097.0
EQ3 EXW US V8,30136-01,50,1147.0
EQ3 EXW US V8,30136-01,60,1197.0
EQ3 EXW US V8,30136-01,70,1247.0
EQ3 EXW US V8,30136-01,F,1847.0
EQ3 EXW US V8,30136-01,I,1997.0
EQ3 EXW US V8,30136-01,41,nan
EQ3 EXW US V8,30136-01,42,nan
EQ3 EXW US V8,30136-03,10,956.0
EQ3 EXW US V8,30136-03,20,996.0
EQ3 EXW US V8,30136-03,30,1026.0
EQ3 EXW US V8,30136-03,31,1026.0
EQ3 EXW US V8,30136-03,40,1056.0
EQ3 EXW US V8,30136-03,50,1106.0
EQ3 EXW US V8,30136-03,60,1156.0
EQ3 EXW US V8,30136-03,70,1206.0
EQ3 EXW US V8,30136-03,F,1806.0
EQ3 EXW US V8,30136-03,I,1956.0
EQ3 EXW US V8,30136-03,41,nan
EQ3 EXW US V8,30136-03,42,nan
EQ3 EXW US V8,30136-06,10,686.0
EQ3 EXW US V8,30136-06,20,706.0
EQ3 EXW US V8,30136-06,30,721.0
EQ3 EXW US V8,30136-06,31,721.0
EQ3 EXW US V8,30136-06,40,741.0
EQ3 EXW US V8,30136-06,50,761.0
EQ3 EXW US V8,30136-06,60,781.0
EQ3 EXW US V8,30136-06,70,801.0
EQ3 EXW US V8,30136-06,F,1026.0
EQ3 EXW US V8,30136-06,I,1176.0
EQ3 EXW US V8,30136-06,41,nan
EQ3 EXW US V8,30136-06,42,nan
EQ3 EXW US V8,30136-07,10,815.0
EQ3 EXW US V8,30136-07,20,855.0
EQ3 EXW US V8,30136-07,30,885.0
EQ3 EXW US V8,30136-07,31,885.0
EQ3 EXW US V8,30136-07,40,915.0
EQ3 EXW US V8,30136-07,50,965.0
EQ3 EXW US V8,30136-07,60,1015.0
EQ3 EXW US V8,30136-07,70,1065.0
EQ3 EXW US V8,30136-07,F,1665.0
EQ3 EXW US V8,30136-07,I,1815.0
EQ3 EXW US V8,30136-07,41,nan
EQ3 EXW US V8,30136-07,42,nan
EQ3 EXW US V8,30136-08,10,815.0
EQ3 EXW US V8,30136-08,20,855.0
EQ3 EXW US V8,30136-08,30,885.0
EQ3 EXW US V8,30136-08,31,885.0
EQ3 EXW US V8,30136-08,40,915.0
EQ3 EXW US V8,30136-08,50,965.0
EQ3 EXW US V8,30136-08,60,1015.0
EQ3 EXW US V8,30136-08,70,1065.0
EQ3 EXW US V8,30136-08,F,1665.0
EQ3 EXW US V8,30136-08,I,1815.0
EQ3 EXW US V8,30136-08,41,nan
EQ3 EXW US V8,30136-08,42,nan
EQ3 EXW US V8,30136-09,10,508.0
EQ3 EXW US V8,30136-09,20,528.0
EQ3 EXW US V8,30136-09,30,543.0
EQ3 EXW US V8,30136-09,31,543.0
EQ3 EXW US V8,30136-09,40,578.0
EQ3 EXW US V8,30136-09,50,613.0
EQ3 EXW US V8,30136-09,60,648.0
EQ3 EXW US V8,30136-09,70,683.0
EQ3 EXW US V8,30136-09,F,1103.0
EQ3 EXW US V8,30136-09,I,1208.0
EQ3 EXW US V8,30136-09,41,nan
EQ3 EXW US V8,30136-09,42,nan
EQ3 EXW US V8,30136-10,10,362.0
EQ3 EXW US V8,30136-10,20,382.0
EQ3 EXW US V8,30136-10,30,397.0
EQ3 EXW US V8,30136-10,31,397.0
EQ3 EXW US V8,30136-10,40,417.0
EQ3 EXW US V8,30136-10,50,437.0
EQ3 EXW US V8,30136-10,60,457.0
EQ3 EXW US V8,30136-10,70,477.0
EQ3 EXW US V8,30136-10,F,702.0
EQ3 EXW US V8,30136-10,I,762.0
EQ3 EXW US V8,30136-10,41,nan
EQ3 EXW US V8,30136-10,42,nan
EQ3 EXW US V8,30136-11,10,452.0
EQ3 EXW US V8,30136-11,20,472.0
EQ3 EXW US V8,30136-11,30,487.0
EQ3 EXW US V8,30136-11,31,487.0
EQ3 EXW US V8,30136-11,40,522.0
EQ3 EXW US V8,30136-11,50,557.0
EQ3 EXW US V8,30136-11,60,592.0
EQ3 EXW US V8,30136-11,70,627.0
EQ3 EXW US V8,30136-11,F,1047.0
EQ3 EXW US V8,30136-11,I,1152.0
EQ3 EXW US V8,30136-11,41,nan
EQ3 EXW US V8,30136-11,42,nan
EQ3 EXW US V8,30136-12,10,452.0
EQ3 EXW US V8,30136-12,20,472.0
EQ3 EXW US V8,30136-12,30,487.0
EQ3 EXW US V8,30136-12,31,487.0
EQ3 EXW US V8,30136-12,40,522.0
EQ3 EXW US V8,30136-12,50,557.0
EQ3 EXW US V8,30136-12,60,592.0
EQ3 EXW US V8,30136-12,70,627.0
EQ3 EXW US V8,30136-12,F,1047.0
EQ3 EXW US V8,30136-12,I,1152.0
EQ3 EXW US V8,30136-12,41,nan
EQ3 EXW US V8,30136-12,42,nan
EQ3 EXW US V8,30136-14,10,724.0
EQ3 EXW US V8,30136-14,20,744.0
EQ3 EXW US V8,30136-14,30,759.0
EQ3 EXW US V8,30136-14,31,759.0
EQ3 EXW US V8,30136-14,40,774.0
EQ3 EXW US V8,30136-14,50,794.0
EQ3 EXW US V8,30136-14,60,814.0
EQ3 EXW US V8,30136-14,70,834.0
EQ3 EXW US V8,30136-14,F,1404.0
EQ3 EXW US V8,30136-14,I,1524.0
EQ3 EXW US V8,30136-14,41,nan
EQ3 EXW US V8,30136-14,42,nan
EQ3 EXW US V8,30136-15,10,723.0
EQ3 EXW US V8,30136-15,20,763.0
EQ3 EXW US V8,30136-15,30,793.0
EQ3 EXW US V8,30136-15,31,793.0
EQ3 EXW US V8,30136-15,40,823.0
EQ3 EXW US V8,30136-15,50,873.0
EQ3 EXW US V8,30136-15,60,923.0
EQ3 EXW US V8,30136-15,70,973.0
EQ3 EXW US V8,30136-15,F,1573.0
EQ3 EXW US V8,30136-15,I,1723.0
EQ3 EXW US V8,30136-15,41,nan
EQ3 EXW US V8,30136-15,42,nan
EQ3 EXW US V8,30136-16,10,723.0
EQ3 EXW US V8,30136-16,20,763.0
EQ3 EXW US V8,30136-16,30,793.0
EQ3 EXW US V8,30136-16,31,793.0
EQ3 EXW US V8,30136-16,40,823.0
EQ3 EXW US V8,30136-16,50,873.0
EQ3 EXW US V8,30136-16,60,923.0
EQ3 EXW US V8,30136-16,70,973.0
EQ3 EXW US V8,30136-16,F,1573.0
EQ3 EXW US V8,30136-16,I,1723.0
EQ3 EXW US V8,30136-16,41,nan
EQ3 EXW US V8,30136-16,42,nan
EQ3 EXW US V8,30136-19,10,730.0
EQ3 EXW US V8,30136-19,20,770.0
EQ3 EXW US V8,30136-19,30,800.0
EQ3 EXW US V8,30136-19,31,800.0
EQ3 EXW US V8,30136-19,40,830.0
EQ3 EXW US V8,30136-19,50,880.0
EQ3 EXW US V8,30136-19,60,930.0
EQ3 EXW US V8,30136-19,70,980.0
EQ3 EXW US V8,30136-19,F,1580.0
EQ3 EXW US V8,30136-19,I,1730.0
EQ3 EXW US V8,30136-19,41,nan
EQ3 EXW US V8,30136-19,42,nan
EQ3 EXW US V8,30136-20,10,730.0
EQ3 EXW US V8,30136-20,20,770.0
EQ3 EXW US V8,30136-20,30,800.0
EQ3 EXW US V8,30136-20,31,800.0
EQ3 EXW US V8,30136-20,40,830.0
EQ3 EXW US V8,30136-20,50,880.0
EQ3 EXW US V8,30136-20,60,930.0
EQ3 EXW US V8,30136-20,70,980.0
EQ3 EXW US V8,30136-20,F,1580.0
EQ3 EXW US V8,30136-20,I,1730.0
EQ3 EXW US V8,30136-20,41,nan
EQ3 EXW US V8,30136-20,42,nan
EQ3 EXW US V8,30136-35,10,724.0
EQ3 EXW US V8,30136-35,20,764.0
EQ3 EXW US V8,30136-35,30,794.0
EQ3 EXW US V8,30136-35,31,794.0
EQ3 EXW US V8,30136-35,40,824.0
EQ3 EXW US V8,30136-35,50,874.0
EQ3 EXW US V8,30136-35,60,924.0
EQ3 EXW US V8,30136-35,70,974.0
EQ3 EXW US V8,30136-35,F,1404.0
EQ3 EXW US V8,30136-35,I,1524.0
EQ3 EXW US V8,30136-35,41,nan
EQ3 EXW US V8,30136-35,42,nan
EQ3 EXW US V8,30136-36,10,724.0
EQ3 EXW US V8,30136-36,20,764.0
EQ3 EXW US V8,30136-36,30,794.0
EQ3 EXW US V8,30136-36,31,794.0
EQ3 EXW US V8,30136-36,40,824.0
EQ3 EXW US V8,30136-36,50,874.0
EQ3 EXW US V8,30136-36,60,924.0
EQ3 EXW US V8,30136-36,70,974.0
EQ3 EXW US V8,30136-36,F,1404.0
EQ3 EXW US V8,30136-36,I,1524.0
EQ3 EXW US V8,30136-36,41,nan
EQ3 EXW US V8,30136-36,42,nan
EQ3 EXW US V8,30136-41,10,66.0
EQ3 EXW US V8,30136-41,20,71.0
EQ3 EXW US V8,30136-41,30,76.0
EQ3 EXW US V8,30136-41,31,76.0
EQ3 EXW US V8,30136-41,40,81.0
EQ3 EXW US V8,30136-41,50,91.0
EQ3 EXW US V8,30136-41,60,101.0
EQ3 EXW US V8,30136-41,70,106.0
EQ3 EXW US V8,30136-41,F,236.0
EQ3 EXW US V8,30136-41,I,266.0
EQ3 EXW US V8,30136-41,41,nan
EQ3 EXW US V8,30136-41,42,nan
EQ3 EXW US V8,30136-64,10,230.0
EQ3 EXW US V8,30136-64,20,250.0
EQ3 EXW US V8,30136-64,30,265.0
EQ3 EXW US V8,30136-64,31,265.0
EQ3 EXW US V8,30136-64,40,285.0
EQ3 EXW US V8,30136-64,50,305.0
