PriceList,Catalog,GradeGroup,Price
UFCA 1711E V5,30136-01,10,1200.0
UFCA 1711E V5,30136-01,20,1240.0
UFCA 1711E V5,30136-01,30,1270.0
UFCA 1711E V5,30136-01,40,1300.0
UFCA 1711E V5,30136-01,50,1350.0
UFCA 1711E V5,30136-01,60,1400.0
UFCA 1711E V5,30136-01,70,1450.0
UFCA 1711E V5,30136-01,F,2050.0
UFCA 1711E V5,30136-01,I,2200.0
UFCA 1711E V5,30136-01,41,nan
UFCA 1711E V5,30136-01,42,nan
UFCA 1711E V5,30136-03,10,1150.0
UFCA 1711E V5,30136-03,20,1190.0
UFCA 1711E V5,30136-03,30,1220.0
UFCA 1711E V5,30136-03,40,1250.0
UFCA 1711E V5,30136-03,50,1300.0
UFCA 1711E V5,30136-03,60,1350.0
UFCA 1711E V5,30136-03,70,1400.0
UFCA 1711E V5,30136-03,F,2000.0
UFCA 1711E V5,30136-03,I,2150.0
UFCA 1711E V5,30136-03,41,nan
UFCA 1711E V5,30136-03,42,nan
UFCA 1711E V5,30136-06,10,850.0
UFCA 1711E V5,30136-06,20,870.0
UFCA 1711E V5,30136-06,30,885.0
UFCA 1711E V5,30136-06,40,905.0
UFCA 1711E V5,30136-06,50,925.0
UFCA 1711E V5,30136-06,60,945.0
UFCA 1711E V5,30136-06,70,965.0
UFCA 1711E V5,30136-06,F,1190.0
UFCA 1711E V5,30136-06,I,1250.0
UFCA 1711E V5,30136-06,41,nan
UFCA 1711E V5,30136-06,42,nan
UFCA 1711E V5,30136-07,10,1000.0
UFCA 1711E V5,30136-07,20,1040.0
UFCA 1711E V5,30136-07,30,1070.0
UFCA 1711E V5,30136-07,40,1100.0
UFCA 1711E V5,30136-07,50,1150.0
UFCA 1711E V5,30136-07,60,1200.0
UFCA 1711E V5,30136-07,70,1250.0
UFCA 1711E V5,30136-07,F,1850.0
UFCA 1711E V5,30136-07,I,2000.0
UFCA 1711E V5,30136-07,41,nan
UFCA 1711E V5,30136-07,42,nan
UFCA 1711E V5,30136-08,10,1000.0
UFCA 1711E V5,30136-08,20,1040.0
UFCA 1711E V5,30136-08,30,1070.0
UFCA 1711E V5,30136-08,40,1100.0
UFCA 1711E V5,30136-08,50,1150.0
UFCA 1711E V5,30136-08,60,1200.0
UFCA 1711E V5,30136-08,70,1250.0
UFCA 1711E V5,30136-08,F,1850.0
UFCA 1711E V5,30136-08,I,2000.0
UFCA 1711E V5,30136-08,41,nan
UFCA 1711E V5,30136-08,42,nan
UFCA 1711E V5,30136-09,10,650.0
UFCA 1711E V5,30136-09,20,670.0
UFCA 1711E V5,30136-09,30,685.0
UFCA 1711E V5,30136-09,40,720.0
UFCA 1711E V5,30136-09,50,755.0
UFCA 1711E V5,30136-09,60,790.0
UFCA 1711E V5,30136-09,70,825.0
