PriceList,Catalog,GradeGroup,Price
UFMX 1711E V6,30136-01,10,1100.0
UFMX 1711E V6,30136-01,20,1140.0
UFMX 1711E V6,30136-01,30,1170.0
UFMX 1711E V6,30136-01,40,1200.0
UFMX 1711E V6,30136-01,50,1250.0
UFMX 1711E V6,30136-01,60,1300.0
UFMX 1711E V6,30136-01,70,1350.0
UFMX 1711E V6,30136-01,F,1950.0
UFMX 1711E V6,30136-01,I,2100.0
UFMX 1711E V6,30136-01,41,nan
UFMX 1711E V6,30136-01,42,nan
UFMX 1711E V6,30136-03,10,1050.0
UFMX 1711E V6,30136-03,20,1090.0
UFMX 1711E V6,30136-03,30,1120.0
UFMX 1711E V6,30136-03,40,1150.0
UFMX 1711E V6,30136-03,50,1200.0
UFMX 1711E V6,30136-03,60,1250.0
UFMX 1711E V6,30136-03,70,1300.0
UFMX 1711E V6,30136-03,F,1900.0
UFMX 1711E V6,30136-03,I,2050.0
UFMX 1711E V6,30136-03,41,nan
UFMX 1711E V6,30136-03,42,nan
UFMX 1711E V6,30136-06,10,750.0
UFMX 1711E V6,30136-06,20,770.0
UFMX 1711E V6,30136-06,30,785.0
UFMX 1711E V6,30136-06,40,805.0
UFMX 1711E V6,30136-06,50,825.0
UFMX 1711E V6,30136-06,60,845.0
UFMX 1711E V6,30136-06,70,865.0
UFMX 1711E V6,30136-06,F,1090.0
UFMX 1711E V6,30136-06,I,1240.0
UFMX 1711E V6,30136-06,41,nan
UFMX 1711E V6,30136-06,42,nan
UFMX 1711E V6,30136-07,10,900.0
UFMX 1711E V6,30136-07,20,940.0
UFMX 1711E V6,30136-07,30,970.0
UFMX 1711E V6,30136-07,40,1000.0
UFMX 1711E V6,30136-07,50,1050.0
UFMX 1711E V6,30136-07,60,1100.0
UFMX 1711E V6,30136-07,70,1150.0
UFMX 1711E V6,30136-07,F,1750.0
UFMX 1711E V6,30136-07,I,1900.0
UFMX 1711E V6,30136-07,41,nan
UFMX 1711E V6,30136-07,42,nan
UFMX 1711E V6,30136-08,10,900.0
UFMX 1711E V6,30136-08,20,940.0
UFMX 1711E V6,30136-08,30,970.0
UFMX 1711E V6,30136-08,40,1000.0
UFMX 1711E V6,30136-08,50,1050.0
UFMX 1711E V6,30136-08,60,1100.0
UFMX 1711E V6,30136-08,70,1150.0
UFMX 1711E V6,30136-08,F,1750.0
UFMX 1711E V6,30136-08,I,1900.0
UFMX 1711E V6,30136-08,41,nan
UFMX 1711E V6,30136-08,42,nan
UFMX 1711E V6,30136-09,10,550.0
UFMX 1711E V6,30136-09,20,570.0
UFMX 1711E V6,30136-09,30,585.0
UFMX 1711E V6,30136-09,40,620.0
UFMX 1711E V6,30136-09,50,655.0
UFMX 1711E V6,30136-09,60,690.0
UFMX 1711E V6,30136-09,70,725.0
UFMX 1711E V6,30136-09,F,1145.0
UFMX 1711E V6,30136-09,I,1250.0
UFMX 1711E V6,30136-09,41,nan
UFMX 1711E V6,30136-09,42,nan
UFMX 1711E V6,30136-10,10,400.0
UFMX 1711E V6,30136-10,20,420.0
UFMX 1711E V6,30136-10,30,435.0
UFMX 1711E V6,30136-10,40,455.0
UFMX 1711E V6,30136-10,50,475.0
UFMX 1711E V6,30136-10,60,495.0
UFMX 1711E V6,30136-10,70,515.0
UFMX 1711E V6,30136-10,F,740.0
UFMX 1711E V6,30136-10,I,800.0
UFMX 1711E V6,30136-10,41,nan
UFMX 1711E V6,30136-10,42,nan
UFMX 1711E V6,30136-11,10,500.0
UFMX 1711E V6,30136-11,20,520.0
UFMX 1711E V6,30136-11,30,535.0
UFMX 1711E V6,30136-11,40,570.0
UFMX 1711E V6,30136-11,50,605.0
UFMX 1711E V6,30136-11,60,640.0
UFMX 1711E V6,30136-11,70,675.0
UFMX 1711E V6,30136-11,F,1095.0
UFMX 1711E V6,30136-11,I,1200.0
UFMX 1711E V6,30136-11,41,nan
UFMX 1711E V6,30136-11,42,nan
UFMX 1711E V6,30136-12,10,500.0
UFMX 1711E V6,30136-12,20,520.0
UFMX 1711E V6,30136-12,30,535.0
UFMX 1711E V6,30136-12,40,570.0
UFMX 1711E V6,30136-12,50,605.0
UFMX 1711E V6,30136-12,60,640.0
UFMX 1711E V6,30136-12,70,675.0
UFMX 1711E V6,30136-12,F,1095.0
UFMX 1711E V6,30136-12,I,1200.0
UFMX 1711E V6,30136-12,41,nan
UFMX 1711E V6,30136-12,42,nan
UFMX 1711E V6,30136-14,10,800.0
UFMX 1711E V6,30136-14,20,820.0
UFMX 1711E V6,30136-14,30,835.0
UFMX 1711E V6,30136-14,40,850.0
UFMX 1711E V6,30136-14,50,870.0
UFMX 1711E V6,30136-14,60,890.0
UFMX 1711E V6,30136-14,70,910.0
UFMX 1711E V6,30136-14,F,1480.0
UFMX 1711E V6,30136-14,I,1600.0
UFMX 1711E V6,30136-14,41,nan
UFMX 1711E V6,30136-14,42,nan
UFMX 1711E V6,30136-15,10,800.0
UFMX 1711E V6,30136-15,20,840.0
UFMX 1711E V6,30136-15,30,870.0
UFMX 1711E V6,30136-15,40,900.0
UFMX 1711E V6,30136-15,50,950.0
UFMX 1711E V6,30136-15,60,1000.0
UFMX 1711E V6,30136-15,70,1050.0
UFMX 1711E V6,30136-15,F,1650.0
UFMX 1711E V6,30136-15,I,1800.0
UFMX 1711E V6,30136-15,41,nan
UFMX 1711E V6,30136-15,42,nan
UFMX 1711E V6,30136-16,10,800.0
UFMX 1711E V6,30136-16,20,840.0
UFMX 1711E V6,30136-16,30,870.0
UFMX 1711E V6,30136-16,40,900.0
UFMX 1711E V6,30136-16,50,950.0
UFMX 1711E V6,30136-16,60,1000.0
UFMX 1711E V6,30136-16,70,1050.0
UFMX 1711E V6,30136-16,F,1650.0
UFMX 1711E V6,30136-16,I,1800.0
UFMX 1711E V6,30136-16,41,nan
UFMX 1711E V6,30136-16,42,nan
UFMX 1711E V6,30136-19,10,800.0
UFMX 1711E V6,30136-19,20,840.0
UFMX 1711E V6,30136-19,30,870.0
UFMX 1711E V6,30136-19,40,900.0
UFMX 1711E V6,30136-19,50,950.0
UFMX 1711E V6,30136-19,60,1000.0
UFMX 1711E V6,30136-19,70,1050.0
UFMX 1711E V6,30136-19,F,1650.0
UFMX 1711E V6,30136-19,I,1800.0
UFMX 1711E V6,30136-19,41,nan
UFMX 1711E V6,30136-19,42,nan
UFMX 1711E V6,30136-20,10,800.0
UFMX 1711E V6,30136-20,20,840.0
UFMX 1711E V6,30136-20,30,870.0
UFMX 1711E V6,30136-20,40,900.0
UFMX 1711E V6,30136-20,50,950.0
UFMX 1711E V6,30136-20,60,1000.0
UFMX 1711E V6,30136-20,70,1050.0
UFMX 1711E V6,30136-20,F,1650.0
UFMX 1711E V6,30136-20,I,1800.0
UFMX 1711E V6,30136-20,41,nan
UFMX 1711E V6,30136-20,42,nan
UFMX 1711E V6,30136-35,10,800.0
UFMX 1711E V6,30136-35,20,840.0
UFMX 1711E V6,30136-35,30,870.0
UFMX 1711E V6,30136-35,40,900.0
UFMX 1711E V6,30136-35,50,950.0
UFMX 1711E V6,30136-35,60,1000.0
UFMX 1711E V6,30136-35,70,1050.0
